Date,Close,Volume,Open,High,Low
01/19/23,3898.85,--,3960.6,4003.95,3947.67
01/18/23,3928.86,--,3960.6,4003.95,3947.67
01/17/23,3990.97,--,3960.6,4003.95,3947.67
01/13/23,3999.09,--,3960.6,4003.95,3947.67
01/12/23,3983.17,--,3977.57,3997.76,3937.56
01/11/23,3969.61,--,3932.35,3970.07,3928.54
01/10/23,3919.25,--,3888.57,3919.83,3877.29
01/09/23,3892.09,--,3910.82,3950.57,3890.42
01/06/23,3895.08,--,3823.37,3906.19,3809.56
01/05/23,3808.1,--,3839.74,3839.74,3802.42
01/04/23,3852.97,--,3840.36,3873.16,3815.77
01/03/23,3824.14,--,3853.29,3878.46,3794.33